frame,cls,r_mean,g_mean,b_mean,r_range,g_range,b_range,r_var,g_var,b_var,x_average,y_average,height,width,area,entropy,r_skewness,g_skewness,b_skewness,r_kurtosis,g_kurtosis,b_kurtosis,luminance,xmin,xmax,ymin,ymax
10812,0,100.74726854514088,89.22139160437033,85.48907418056355,198,199,198,1532.4804051325996,1625.5869834573357,1426.554653484438,911.6729736328124,205.52378845214844,94,37,3445.6179995685816,4.689398555833673,0.4427176117419218,0.3981897804824982,0.3381946941532244,-0.6573055782454098,-0.6053226028859671,-0.5516656456328435,91.4015403680276,893,930,158,252
10812,0,117.31247283789656,104.34093872229464,99.85875706214688,231,251,250,2901.923221221015,3611.493278388691,3813.504170380341,748.8922119140625,256.7737731933594,118,39,4632.682211302221,4.837124193799333,0.6594869778811137,0.551140082442937,0.3937730071298842,-0.4386914348303854,-0.7218230310732721,-1.0673946275759842,106.7742244241634,729,768,197,315
10812,0,140.55225193525686,137.67698803659394,134.03307529908514,215,228,240,2526.981611747911,2623.4938335740826,2717.328251555914,836.26416015625,248.8145904541016,116,49,5677.4585860762745,4.560101390499868,-0.1018295558413892,-0.2108261620564603,-0.3356635804645954,-1.0050551555162477,-0.77427880577646,-0.4448285327707708,138.02525550668545,811,860,190,306
10812,0,121.13359694779928,103.1723937541058,93.51488200515438,251,244,243,3020.250748046267,2810.541759498241,2064.0189937462987,367.7801818847656,817.7777099609375,308,257,79025.90505158529,3.525928904070796,-0.2070613261854616,-0.1028975332745594,-0.1258801064617413,-1.305880430300817,-1.2714510973069526,-1.0957805703824224,106.29284283566628,239,496,663,971
10812,0,110.49524405506884,102.53585732165206,101.05994993742178,255,255,255,5824.784019934258,6178.672118507868,5935.27200049815,419.767822265625,261.4088439941406,94,170,15954.393687316682,4.728623154092609,0.5231678677583365,0.499746063009944,0.4518966203612213,-0.9711084185088784,-0.9727111502619435,-1.0233690456434967,104.12081408010012,334,504,214,308
10815,0,150.35291207377648,135.10296649581446,124.60889355049376,251,255,255,4694.378649125419,4465.524712855681,3502.575558830181,272.1484375,448.45123291015625,299,169,50326.24495628756,3.942306511227169,-0.6580932979318445,-0.5874887183877264,-0.5189823012052821,-0.7457101609301149,-0.6593978335920543,-0.3897397706153813,137.58695727177377,187,356,298,597
10815,0,56.3668809305173,45.82093663911846,47.94074074074074,254,255,255,2280.167449193926,2120.044520334953,2164.6607674954503,160.5263214111328,286.7801513671875,121,270,32577.57778675528,4.01157809038728,1.4528825650980668,1.4380684383931084,1.3218599518009109,1.5559825406730443,1.4399993197816905,1.0991380905083323,48.21478767676768,25,295,226,347
10815,0,104.70138888888889,88.64033564814815,85.50839120370371,218,199,196,2605.0688175154346,2592.97625497992,2385.175855513626,1103.3936767578125,194.40496826171875,96,36,3416.5313234589994,5.116638898570926,0.4047109978567463,0.3875172417919283,0.3790325781420243,-1.1249398664481207,-1.207082122426841,-1.1692089199258704,91.82749626736113,1085,1121,146,242
10815,0,111.34069830878342,102.36033824331696,102.28177850518276,232,231,237,1735.3304603961687,2049.862791374956,2385.508435025676,1070.9453125,194.56442260742188,94,39,3590.255145721137,5.2026452639235305,0.5628831525073503,0.6722327297559569,0.9095137488350924,-0.2584904839099802,-0.151476634131547,0.5221524213090425,104.26300060010912,1051,1090,147,241
10815,0,98.70176565008026,86.44879614767255,83.32841091492777,178,178,172,1492.5572842019064,1574.2069287273052,1363.148968100812,913.849365234375,205.72308349609372,89,35,3119.3665026538074,4.660226554152557,0.4872218833947773,0.4412789658026212,0.3632416271822761,-0.7349101070111268,-0.691435385776467,-0.6803000131386607,88.82757239165329,896,931,161,250
10815,0,125.26888809693514,114.6272273699216,110.3797220242338,235,253,253,3083.36087809368,3843.136521678168,3945.349574548516,736.3534545898438,260.84228515625,122,46,5572.129362896085,4.930886990783371,0.5125172540789942,0.3671133928663196,0.1853632591890566,-0.7586657415543216,-0.9168329673055622,-1.1617549837491603,116.58233513898789,713,759,199,321
10815,0,141.75888999667663,138.55666334330343,134.6773014290462,242,245,255,2650.4920487513004,2769.6901259222136,2856.472801491392,834.3267211914062,249.5999755859375,118,51,6053.641625756398,4.556651002450908,-0.1394314246781187,-0.2411700375058627,-0.3773480863159425,-0.9977075257067534,-0.7990976602333779,-0.4936369443226609,138.95743451312728,808,859,190,308
10815,0,128.47300420168068,110.64287027310924,98.8625131302521,236,228,218,2771.5382418152617,2618.5554021608323,1935.0801651126903,397.7769775390625,799.260009765625,320,238,76104.11385513842,3.5359128743475243,-0.4505794644677132,-0.3254905865217599,-0.2846698354516398,-1.053394274020266,-1.1107788774186047,-0.9329630995412326,113.58240998293068,278,516,639,959
